text,label
help me,1
please help,1
save me,1
stop,1
stop please,1
call police,1
call the police,1
he is attacking me,1
someone is following me,1
kidnap,1
don't touch me,1
leave me,1
i am scared,1
i need help,1
emergency,1
danger,1
help,1
please save me,1
help police,1
he is chasing me,1
hello,0
good morning,0
good evening,0
how are you,0
i am fine,0
thank you,0
nice to meet you,0
good job,0
welcome,0
see you tomorrow,0
happy birthday,0
have a nice day,0
good night,0
i reached home,0
everything is okay,0
lets go shopping,0
thank you so much,0
what are you doing,0
lets eat,0
see you later,0
